Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
1,A,1,SMU_01,BsaI,Payload_2,Tag_58,Tag_82,SMu0001,24378533,SMU.01,VIMSS294836,1029426,N,N,N,?,0.19,24.00333,0.060064528035098874,23.83,false,false,false,true,false,false,false,false,false,false
1,B,1,SMU_02,BsaI,Payload_2,Tag_14,Tag_154,SMu0002,24378534,SMU.02,VIMSS294837,1028044,Y,Y,N,?,1.329,17.83667,0.2823549441815937,8.64,true,true,true,true,true,true,true,true,true,true
1,C,1,intergenic_1,BsaI,Payload_2,Tag_70,Tag_92,,,,,,Y,Y,,,1.356,14.83667,0.2943876048246562,7.53,true,true,true,true,true,true,true,true,true,true
1,D,1,SMU_05,BsaI,Payload_2,Tag_62,Tag_106,SMu0003,24378535,SMU.05,VIMSS294838,1029438,Y,N,N,Y,0.975,16.83667,0.2161639982514627,15.02,true,false,true,true,true,true,false,true,true,true
1,E,1,SMU_06,BsaI,Payload_2,Tag_36,Tag_138,SMu0004,24378536,SMU.06,VIMSS294839,1029413,Y,Y,Y,N,1.313,11.83667,0.24856427384761148,8.17,true,true,true,true,true,true,true,true,true,true
1,F,1,SMU_07,BsaI,Payload_2,Tag_88,Tag_177,SMu0005,24378537,SMU.07,VIMSS294840,1029439,N,N,N,?,1.063,23.83667,0.24904559779562274,19.93,false,false,true,true,true,true,false,false,true,true
1,G,1,SMU_08,BsaI,Payload_2,Tag_32,Tag_192,SMu0006,24378538,SMU.08,VIMSS294841,1029400,Y,Y,Y,N,1.329,16.50333,0.2767822655776263,7.9,true,true,true,true,true,true,true,true,true,true
1,H,1,SMU_09,BsaI,Payload_2,Tag_186,Tag_188,SMu0007,24378539,SMU.09,VIMSS294842,1028153,Y,Y,Y,N,0.858,23.67,0.15363273125313381,8.24,true,true,true,true,true,true,true,true,true,true
1,A,2,SMU_10,BbsI,Payload_4,Tag_7,Tag_29,SMu0008,24378540,SMU.10,VIMSS294843,1029403,N,N,N,?,1.14,24.00333,0.23119207024228935,19.38,false,false,true,true,true,true,false,false,true,true
1,B,2,SMU_11,BbsI,Payload_4,Tag_12,Tag_176,SMu0009,24378541,SMU.11,VIMSS294844,1029407,Y,Y,N,?,1.405,18.33667,0.2550855857934674,8.28,true,true,true,true,true,true,true,true,true,true
1,C,2,SMU_12,BbsI,Payload_4,Tag_40,Tag_99,SMu0010,24378542,SMU.12,VIMSS294845,1029383,Y,Y,Y,N,1.453,13.00333,0.276562793187101,7.12,true,true,true,true,true,true,true,true,true,true
1,D,2,SMU_13,BsaI,Payload_2,Tag_115,Tag_150,SMu0011,24378543,SMU.13,VIMSS294846,1029348,N,N,N,Y,1.121,23.00333,0.24355442615629136,19.3,false,false,true,true,true,true,false,false,true,true
1,E,2,SMU_14,BsaI,Payload_2,Tag_170,Tag_177,SMu0012,24378544,SMU.14,VIMSS294847,1027835,Y,Y,Y,N,1.349,15.83667,0.31471117332215437,5.88,true,true,true,true,true,true,true,true,true,true
1,F,2,SMU_15,BsaI,Payload_2,Tag_40,Tag_117,SMu0013,24378545,SMU.15,VIMSS294848,1029422,N,N,N,?,1.333,24.00333,0.30741328833565135,13.79,false,false,true,true,true,true,false,false,true,true
1,G,2,intergenic_2,BsaI,Payload_2,Tag_113,Tag_163,,,,,,Y,Y,,,1.218,18.17,0.2710799755925962,8.26,true,true,true,true,true,true,true,true,true,true
1,H,2,SMU_16,BsaI,Payload_2,Tag_22,Tag_159,SMu0014,24378546,SMU.16,VIMSS294849,1029331,Y,Y,N,?,1.307,14.50333,0.2970097724527896,7.72,true,true,true,true,true,true,true,true,true,true
1,A,3,SMU_18,BsaI,Payload_2,Tag_65,Tag_121,SMu0015,24378547,SMU.18,VIMSS294850,1029373,N,N,N,?,1.045,24.00333,0.21737980345772778,18.65,false,false,true,true,true,true,false,false,true,true
1,B,3,intergenic_3,BsaI,Payload_2,Tag_86,Tag_135,,,,,,N,N,,,1.055,21.17,0.21592011765186014,17.31,false,false,true,true,true,true,false,false,true,true
1,C,3,SMU_20,BsaI,Payload_2,Tag_41,Tag_121,SMu0016,24378548,SMU.20,VIMSS294851,1029606,Y,Y,N,Y,1.083,9.00333,0.32912848872815964,7.47,true,true,true,true,true,true,true,true,true,true
1,D,3,SMU_21,BsaI,Payload_2,Tag_86,Tag_106,SMu0017,24378549,SMU.21,VIMSS294852,1029607,Y,Y,N,?,1.356,16.17,0.29891655578296794,7.93,true,true,true,true,true,true,true,true,true,true
1,E,3,SMU_22,BsaI,Payload_2,Tag_26,Tag_156,SMu0018,24378550,SMU.22,VIMSS294853,1029610,N,N,N,?,1.224,24.00333,0.27060811007648194,14.36,false,false,true,true,true,true,false,false,true,true
1,F,3,SMU_23,BsaI,Payload_2,Tag_109,Tag_132,SMu0019,24378551,SMU.23,VIMSS294854,1029611,N,N,N,Y,1.047,22.50333,0.23279478180546095,19.06,false,false,true,true,true,true,false,false,true,true
1,G,3,SMU_24,BsaI,Payload_2,Tag_135,Tag_185,SMu0020,24378552,SMU.24,VIMSS294855,1029609,Y,Y,Y,N,1.227,24.00333,0.2585789816095719,7.05,true,true,true,true,true,true,true,true,true,true
1,H,3,SMU_25,BsaI,Payload_2,Tag_21,Tag_157,SMu0021,24378553,SMU.25,VIMSS294856,1029608,Y,Y,Y,N,0.972,24.00333,0.16413730407821886,7.08,true,true,true,true,true,true,true,true,true,true
1,A,4,intergenic_4,BsaI,Payload_2,Tag_31,Tag_188,,,,,,Y,Y,,,1.456,13.50333,0.2896920089078927,7.63,true,true,true,true,true,true,true,true,true,true
1,B,4,SMU_26,BsaI,Payload_2,Tag_63,Tag_182,SMu0022,24378554,SMU.26,VIMSS294857,1029612,Y,Y,Y,N,1.356,16.67,0.30878525720431155,6.77,true,true,true,true,true,true,true,true,true,true
1,C,4,SMU_27,BsaI,Payload_2,Tag_52,Tag_74,SMu0023,24378555,SMU.27,VIMSS294858,1029615,Y,Y,Y,N,1.715,10.17,0.3860082505467548,6.74,true,true,true,true,true,true,true,true,true,true
1,D,4,intergenic_5,BsaI,Payload_2,Tag_2,Tag_6,,,,,,Y,Y,,,1.306,22.17,0.2798766537268299,8.05,true,true,true,true,true,true,true,true,true,true
1,E,4,SMU_28,BsaI,Payload_2,Tag_29,Tag_128,SMu0024,24378556,SMU.28,VIMSS294859,1029614,Y,Y,Y,N,1.287,23.33667,0.28677861443279745,7.09,true,true,true,true,true,true,true,true,true,true
1,F,4,SMU_29,BsaI,Payload_2,Tag_129,Tag_162,SMu0025,24378557,SMU.29,VIMSS294860,1029613,Y,Y,Y,N,1.254,15.50333,0.2760004772953598,7.5,true,true,true,true,true,true,true,true,true,true
1,G,4,SMU_30,BsaI,Payload_2,Tag_92,Tag_152,SMu0026,24378558,SMU.30,VIMSS294861,1029618,Y,Y,N,Y,1.287,18.33667,0.2682339913990547,7.63,true,true,true,true,true,true,true,true,true,true
1,H,4,SMU_31,BsaI,Payload_2,Tag_41,Tag_87,SMu0027,24378559,SMU.31,VIMSS294862,1029619,Y,Y,N,?,1.367,23.50333,0.3003538422594736,7.45,true,true,true,true,true,true,true,true,true,true
1,A,5,SMU_32,BsaI,Payload_2,Tag_154,Tag_171,SMu0028,24378560,SMU.32,VIMSS294863,1029620,Y,Y,Y,N,1.361,13.00333,0.3013181912870395,7.0,true,true,true,true,true,true,true,true,true,true
1,B,5,intergenic_6,BbsI,Payload_4,Tag_136,Tag_180,,,,,,Y,Y,,,1.357,20.33667,0.2979974602923425,7.01,true,true,true,true,true,true,true,true,true,true
