,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
17,1,B,3,intergenic_3,BsaI,Payload_2,Tag_86,Tag_135,,,,,,N,N,,,1.055,21.17,0.2159201176518601,17.31,False,False,True,True,True,True,False,False,True,True
91,1,D,12,intergenic_18,BsaI,Payload_2,Tag_23,Tag_131,,,,,,N,N,,,0.981,21.67,0.2290356241567779,19.59,False,False,True,True,True,True,False,False,True,True
142,2,G,6,intergenic_33,BbsI,Payload_4,Tag_8,Tag_32,,,,,,N,N,,,0.102,11.25306,1.9210446550516757e-29,1.00306,False,False,False,True,False,False,False,False,False,False
195,3,D,1,intergenic_44,BsaI,Payload_2,Tag_136,Tag_175,,,,,,N,Y,,,0.1,3.25333,3.395253295371309e-16,1.00333,False,True,False,False,False,False,False,False,False,False
219,3,D,4,intergenic_48,BsaI,Payload_2,Tag_69,Tag_139,,,,,,N,Y,,,0.103,6.75333,9.226616612586912e-17,1.00333,False,True,False,False,False,False,False,False,False,False
278,3,G,11,intergenic_59,BsaI,Payload_2,Tag_57,Tag_61,,,,,,N,N,,,0.113,6.75333,1.2719860058833594e-19,1.00333,False,False,False,False,False,False,False,False,False,False
355,4,D,9,intergenic_79,BsaI,Payload_2,Tag_1,Tag_11,,,,,,N,N,,,0.111,3.50333,3.6841778509783084e-28,1.00333,False,False,False,False,False,False,False,False,False,False
365,4,F,10,intergenic_81,BsaI,Payload_2,Tag_6,Tag_132,,,,,,N,N,,,0.13,15.25333,2.727971636117753e-20,1.00333,False,False,False,True,False,False,False,False,False,False
410,5,C,4,intergenic_89,BsaI,Payload_2,Tag_65,Tag_183,,,,,,N,N,,,1.461,22.75306,0.3185453125676138,18.06306,False,False,True,True,True,True,False,False,True,True
414,5,G,4,intergenic_90,BsaI,Payload_2,Tag_56,Tag_117,,,,,,N,N,,,0.11,3.50333,7.144140588447038e-14,1.00306,False,False,False,False,False,False,False,False,False,False
538,6,C,8,intergenic_110,BsaI,Payload_2,Tag_71,Tag_153,,,,,,N,N,,,0.108,5.25333,9.540137644563689e-22,1.00333,False,False,False,False,False,False,False,False,False,False
543,6,H,8,intergenic_111,BsaI,Payload_2,Tag_17,Tag_158,,,,,,N,N,,,0.095,4.25333,3.2103938221289367e-18,1.00333,False,False,False,False,False,False,False,False,False,False
615,7,H,5,intergenic_123,BsaI,Payload_2,Tag_111,Tag_159,,,,,,N,N,,,0.105,6.25333,4.036330470533413e-24,1.00333,False,False,False,False,False,False,False,False,False,False
675,8,D,1,intergenic_132,BsaI,Payload_2,Tag_52,Tag_98,,,,,,N,N,,,0.109,5.25306,3.423588444864596e-18,1.00333,False,False,False,False,False,False,False,False,False,False
680,8,A,2,intergenic_134,BsaI,Payload_2,Tag_15,Tag_122,,,,,,N,N,,,0.098,5.25306,-1.2815574324744026e-19,1.00333,False,False,False,False,False,False,False,False,False,False
