Unnamed: 0,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
0,1,A,1,SMU_01,BsaI,Payload_2,Tag_58,Tag_82,1,24378533.0,SMU.01,VIMSS294836,1029426.0,N,N,N,?,0.19,24.00333,0.0600645280350989,23.83,False,False,False,True,False,False,False,False,False,False
3,1,D,1,SMU_05,BsaI,Payload_2,Tag_62,Tag_106,3,24378535.0,SMU.05,VIMSS294838,1029438.0,Y,N,N,Y,0.975,16.83667,0.216163998251463,15.02,True,False,True,True,True,True,False,True,True,True
5,1,F,1,SMU_07,BsaI,Payload_2,Tag_88,Tag_177,5,24378537.0,SMU.07,VIMSS294840,1029439.0,N,N,N,?,1.063,23.83667,0.249045597795623,19.93,False,False,True,True,True,True,False,False,True,True
8,1,A,2,SMU_10,BbsI,Payload_4,Tag_7,Tag_29,8,24378540.0,SMU.10,VIMSS294843,1029403.0,N,N,N,?,1.14,24.00333,0.231192070242289,19.38,False,False,True,True,True,True,False,False,True,True
11,1,D,2,SMU_13,BsaI,Payload_2,Tag_115,Tag_150,11,24378543.0,SMU.13,VIMSS294846,1029348.0,N,N,N,Y,1.121,23.00333,0.243554426156291,19.3,False,False,True,True,True,True,False,False,True,True
13,1,F,2,SMU_15,BsaI,Payload_2,Tag_40,Tag_117,13,24378545.0,SMU.15,VIMSS294848,1029422.0,N,N,N,?,1.333,24.00333,0.307413288335651,13.79,False,False,True,True,True,True,False,False,True,True
16,1,A,3,SMU_18,BsaI,Payload_2,Tag_65,Tag_121,15,24378547.0,SMU.18,VIMSS294850,1029373.0,N,N,N,?,1.045,24.00333,0.217379803457728,18.65,False,False,True,True,True,True,False,False,True,True
20,1,E,3,SMU_22,BsaI,Payload_2,Tag_26,Tag_156,18,24378550.0,SMU.22,VIMSS294853,1029610.0,N,N,N,?,1.224,24.00333,0.270608110076482,14.36,False,False,True,True,True,True,False,False,True,True
21,1,F,3,SMU_23,BsaI,Payload_2,Tag_109,Tag_132,19,24378551.0,SMU.23,VIMSS294854,1029611.0,N,N,N,Y,1.047,22.50333,0.232794781805461,19.06,False,False,True,True,True,True,False,False,True,True
77,1,F,10,SMU_70,BsaI,Payload_2,Tag_44,Tag_160,64,24378595.0,SMU.70,VIMSS294898,1029655.0,N,N,N,?,1.051,23.17,0.255816047953826,20.58,False,False,True,True,True,False,False,False,False,False
89,1,B,12,SMU_80,BsaI,Payload_2,Tag_2,Tag_62,73,24378604.0,SMU.80,VIMSS294907,1029663.0,N,N,Y,N,1.087,24.00333,0.235552064324308,20.53,False,False,True,True,True,False,False,False,False,False
90,1,C,12,SMU_81,BsaI,Payload_2,Tag_12,Tag_178,74,24378605.0,SMU.81,VIMSS294908,1029662.0,N,N,Y,N,0.977,21.50333,0.223101488402267,19.37,False,False,True,True,True,True,False,False,True,True
110,2,G,2,SMU_96,BsaI,Payload_2,Tag_132,Tag_134,87,347750431.0,SMU.96,VIMSS294921,1029671.0,N,N,Y,N,1.365,23.25306,0.226146668925139,15.00306,False,False,True,True,True,True,False,False,True,True
111,2,H,2,SMU_97,BsaI,Payload_2,Tag_14,Tag_175,88,24378619.0,SMU.97,VIMSS294922,1029678.0,N,N,Y,N,0.258,24.00306,0.0843922733229191,23.75306,False,False,True,True,False,False,False,False,False,False
113,2,B,3,SMU_99,BbsI,Payload_4,Tag_123,Tag_149,89,24378620.0,SMU.99,VIMSS294923,1029679.0,N,N,Y,N,0.104,5.50306,1.64997142351727e-22,1.00306,False,False,False,False,False,False,False,False,False,False
143,2,H,6,SMU_123,BsaI,Payload_2,Tag_80,Tag_104,111,24378642.0,SMU.123,VIMSS294945,1029702.0,Y,N,Y,N,0.137,24.00306,0.0007548236382614,23.74306,True,False,False,True,False,False,False,False,False,False
148,2,E,7,SMU_127,BsaI,Payload_2,Tag_30,Tag_165,114,24378645.0,SMU.127,VIMSS294948,1029703.0,N,N,N,Y,0.188,24.00306,0.0426403534745894,23.75306,False,False,False,True,False,False,False,False,False,False
149,2,F,7,SMU_128,BsaI,Payload_2,Tag_49,Tag_98,115,24378646.0,SMU.128,VIMSS294949,1029701.0,N,N,Y,N,0.35,24.00306,0.152802686878573,23.75306,False,False,True,True,True,False,False,False,False,False
151,2,H,7,SMU_130,BsaI,Payload_2,Tag_144,Tag_172,117,24378648.0,SMU.130,VIMSS294951,1029705.0,N,N,Y,N,0.111,24.00306,1.5399948387597601e-15,1.00306,False,False,False,True,False,False,False,False,False,False
165,2,F,9,SMU_143c,BsaI,Payload_1,Tag_171,Tag_174,129,24378660.0,SMU.143c,VIMSS294963,1029717.0,N,N,N,Y,0.105,4.25306,7.22008398075517e-15,1.00306,False,False,False,False,False,False,False,False,False,False
196,3,E,1,SMU_169,BbsI,Payload_4,Tag_65,Tag_151,153,24378684.0,SMU.169,VIMSS294987,1029741.0,N,Y,Y,N,0.101,18.75306,4.03986822881145e-33,1.00333,False,True,False,True,False,False,False,False,False,False
197,3,F,1,SMU_170,BsaI,Payload_2,Tag_79,Tag_98,154,24378685.0,SMU.170,VIMSS294988,1029746.0,N,Y,Y,N,0.101,9.50333,1.2516176968371001e-21,1.00333,False,True,False,True,False,False,False,False,False,False
209,3,B,3,SMU_181,BsaI,Payload_2,Tag_3,Tag_119,164,24378695.0,SMU.181,VIMSS294998,1029752.0,N,Y,N,?,0.103,3.00333,3.3634366511033205e-20,1.00333,False,True,False,False,False,False,False,False,False,False
248,3,A,8,SMU_218,BsaI,Payload_2,Tag_102,Tag_154,198,24378729.0,SMU.218,VIMSS295032,1027818.0,N,Y,N,?,0.101,16.75333,8.63449671329618e-25,1.00333,False,True,False,True,False,False,False,False,False,False
279,3,H,11,SMU_243,BsaI,Payload_2,Tag_31,Tag_115,221,24378752.0,SMU.243,VIMSS295055,1029470.0,Y,N,Y,N,1.026,24.00333,0.219109902122736,22.65333,True,False,True,True,True,False,False,False,True,True
280,3,A,12,SMU_244,BsaI,Payload_2,Tag_43,Tag_166,222,24378753.0,SMU.244,VIMSS295056,1027840.0,N,N,Y,N,0.171,24.00333,0.02523371291575,23.75333,False,False,False,True,False,False,False,False,False,False
281,3,B,12,SMU_245,BsaI,Payload_2,Tag_34,Tag_39,223,24378754.0,SMU.245,VIMSS295057,1027843.0,Y,N,Y,N,1.813,21.50306,0.307202409420937,15.38333,True,False,True,True,True,True,False,True,True,True
282,3,C,12,SMU_246,BsaI,Payload_2,Tag_78,Tag_111,224,24378755.0,SMU.246,VIMSS295058,1027812.0,Y,N,Y,N,0.104,2.25333,3.716673949132781e-15,1.00333,True,False,False,False,False,False,False,False,False,False
337,4,B,7,SMU_291,BsaI,Payload_2,Tag_15,Tag_55,263,24378794.0,SMU.291,VIMSS295097,1029437.0,N,N,N,Y,0.103,6.75333,2.21952144844467e-14,1.00333,False,False,False,False,False,False,False,False,False,False
