Unnamed: 0,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
0,1,A,1,SMU_01,BsaI,Payload_2,Tag_58,Tag_82,1.0,24378533.0,SMU.01,VIMSS294836,1029426.0,N,N,N,?,0.19,24.00333,0.0600645280350989,23.83,False,False,False,True,False,False,False,False,False,False
1,1,B,1,SMU_02,BsaI,Payload_2,Tag_14,Tag_154,2.0,24378534.0,SMU.02,VIMSS294837,1028044.0,Y,Y,N,?,1.329,17.83667,0.282354944181594,8.64,True,True,True,True,True,True,True,True,True,True
3,1,D,1,SMU_05,BsaI,Payload_2,Tag_62,Tag_106,3.0,24378535.0,SMU.05,VIMSS294838,1029438.0,Y,N,N,Y,0.975,16.83667,0.216163998251463,15.02,True,False,True,True,True,True,False,True,True,True
4,1,E,1,SMU_06,BsaI,Payload_2,Tag_36,Tag_138,4.0,24378536.0,SMU.06,VIMSS294839,1029413.0,Y,Y,Y,N,1.313,11.83667,0.248564273847611,8.17,True,True,True,True,True,True,True,True,True,True
5,1,F,1,SMU_07,BsaI,Payload_2,Tag_88,Tag_177,5.0,24378537.0,SMU.07,VIMSS294840,1029439.0,N,N,N,?,1.063,23.83667,0.249045597795623,19.93,False,False,True,True,True,True,False,False,True,True
6,1,G,1,SMU_08,BsaI,Payload_2,Tag_32,Tag_192,6.0,24378538.0,SMU.08,VIMSS294841,1029400.0,Y,Y,Y,N,1.329,16.50333,0.276782265577626,7.9,True,True,True,True,True,True,True,True,True,True
7,1,H,1,SMU_09,BsaI,Payload_2,Tag_186,Tag_188,7.0,24378539.0,SMU.09,VIMSS294842,1028153.0,Y,Y,Y,N,0.858,23.67,0.153632731253134,8.24,True,True,True,True,True,True,True,True,True,True
8,1,A,2,SMU_10,BbsI,Payload_4,Tag_7,Tag_29,8.0,24378540.0,SMU.10,VIMSS294843,1029403.0,N,N,N,?,1.14,24.00333,0.231192070242289,19.38,False,False,True,True,True,True,False,False,True,True
9,1,B,2,SMU_11,BbsI,Payload_4,Tag_12,Tag_176,9.0,24378541.0,SMU.11,VIMSS294844,1029407.0,Y,Y,N,?,1.405,18.33667,0.255085585793467,8.28,True,True,True,True,True,True,True,True,True,True
10,1,C,2,SMU_12,BbsI,Payload_4,Tag_40,Tag_99,10.0,24378542.0,SMU.12,VIMSS294845,1029383.0,Y,Y,Y,N,1.453,13.00333,0.276562793187101,7.12,True,True,True,True,True,True,True,True,True,True
11,1,D,2,SMU_13,BsaI,Payload_2,Tag_115,Tag_150,11.0,24378543.0,SMU.13,VIMSS294846,1029348.0,N,N,N,Y,1.121,23.00333,0.243554426156291,19.3,False,False,True,True,True,True,False,False,True,True
12,1,E,2,SMU_14,BsaI,Payload_2,Tag_170,Tag_177,12.0,24378544.0,SMU.14,VIMSS294847,1027835.0,Y,Y,Y,N,1.349,15.83667,0.314711173322154,5.88,True,True,True,True,True,True,True,True,True,True
13,1,F,2,SMU_15,BsaI,Payload_2,Tag_40,Tag_117,13.0,24378545.0,SMU.15,VIMSS294848,1029422.0,N,N,N,?,1.333,24.00333,0.307413288335651,13.79,False,False,True,True,True,True,False,False,True,True
15,1,H,2,SMU_16,BsaI,Payload_2,Tag_22,Tag_159,14.0,24378546.0,SMU.16,VIMSS294849,1029331.0,Y,Y,N,?,1.307,14.50333,0.29700977245279,7.72,True,True,True,True,True,True,True,True,True,True
16,1,A,3,SMU_18,BsaI,Payload_2,Tag_65,Tag_121,15.0,24378547.0,SMU.18,VIMSS294850,1029373.0,N,N,N,?,1.045,24.00333,0.217379803457728,18.65,False,False,True,True,True,True,False,False,True,True
18,1,C,3,SMU_20,BsaI,Payload_2,Tag_41,Tag_121,16.0,24378548.0,SMU.20,VIMSS294851,1029606.0,Y,Y,N,Y,1.083,9.00333,0.32912848872816,7.47,True,True,True,True,True,True,True,True,True,True
